ICDO3.2,ICDO3.2_c,idd,beh,type,Level,Term_used,Term_raw
8050/3,8050,91,/3,cancer,Preferred,"Papillary carcinoma","Papillary carcinoma"
8051/0,8051,92,/0,,Preferred,Verrucous papilloma,Verrucous papilloma
8051/3,8051,93,/3,cancer,Preferred,"Verrucous carcinoma","Verrucous carcinoma"
8051/3,8051,94,/3,cancer,Synonym,Verrucous epidermoid carcinoma,Verrucous epidermoid carcinoma
8051/3,8051,95,/3,cancer,Synonym,Verrucous squamous cell carcinoma,Verrucous squamous cell carcinoma
8052/0,8052,96,/0,,Preferred,"Squamous cell papilloma","Squamous cell papilloma"
8052/0,8052,97,/0,,Synonym,Keratotic papilloma,Keratotic papilloma
8052/0,8052,98,/0,,Synonym,Squamous papilloma,Squamous papilloma
8052/0,8052,99,/0,,Related,"Benign keratosis","Benign keratosis"
8052/0,8052,100,/0,,Related,Seborrhoeic keratosis,Seborrhoeic keratosis
8052/0,8052,101,/0,,Related,Solar lentigo,Solar lentigo
8052/0,8052,102,/0,,Related,Lichen planus-like keratosis,Lichen planus-like keratosis
8052/2,8052,103,/2,,Preferred,"Papillary squamous cell carcinoma, non-invasive","Papillary squamous cell carcinoma, non-invasive"
8052/2,8052,104,/2,,Synonym,Papillary squamous cell carcinoma in situ,Papillary squamous cell carcinoma in situ
8052/3,8052,105,/3,cancer,Preferred,Papillary squamous cell carcinoma,Papillary squamous cell carcinoma
8052/3,8052,106,/3,cancer,Synonym,Papillary epidermoid carcinoma,Papillary epidermoid carcinoma
8053/0,8053,107,/0,,Preferred,"Squamous cell papilloma, inverted","Squamous cell papilloma, inverted"
8054/0,8054,108,/0,,Preferred,Warty dyskeratoma,Warty dyskeratoma
8054/3,8054,109,/3,cancer,Preferred,Warty carcinoma,Warty carcinoma
8054/3,8054,110,/3,cancer,Synonym,Condylomatous carcinoma,Condylomatous carcinoma
8054/3,8054,111,/3,cancer,Related,Warty-basaloid carcinoma,Warty-basaloid carcinoma
8060/0,8060,112,/0,,Preferred,Squamous papillomatosis,Squamous papillomatosis
8060/0,8060,113,/0,,Synonym,"Papillomatosis","Papillomatosis"
8070/0,8070,114,/0,,Preferred,Actinic keratosis,Actinic keratosis
8070/0,8070,115,/0,,Related,Arsenical keratosis,Arsenical keratosis
8070/0,8070,116,/0,,Related,PUVA keratosis,PUVA keratosis
8070/2,8070,117,/2,,Preferred,"Squamous cell carcinoma in situ","Squamous cell carcinoma in situ"
8070/2,8070,118,/2,,Synonym,"Epidermoid carcinoma in situ","Epidermoid carcinoma in situ"
8070/2,8070,119,/2,,Synonym,"Intraepidermal carcinoma","Intraepidermal carcinoma"
8070/2,8070,120,/2,,Synonym,Intraepithelial squamous cell carcinoma,Intraepithelial squamous cell carcinoma
8070/3,8070,121,/3,cancer,Preferred,"Squamous cell carcinoma","Squamous cell carcinoma"
8070/3,8070,122,/3,cancer,Synonym,"Squamous cell carcinoma, usual type","Squamous cell carcinoma, usual type"
8070/3,8070,123,/3,cancer,Synonym,"Epidermoid carcinoma","Epidermoid carcinoma"
8070/3,8070,124,/3,cancer,Synonym,Squamous carcinoma,Squamous carcinoma
8070/3,8070,125,/3,cancer,Synonym,Squamous cell epithelioma,Squamous cell epithelioma
8070/6,8070,126,/6,,Preferred,"Squamous cell carcinoma, metastatic","Squamous cell carcinoma, metastatic"
8071/2,8071,127,/2,,Preferred,Differentiated intraepithelial neoplasia,Differentiated intraepithelial neoplasia
8071/2,8071,128,/2,,Related,Differentiated penile intraepithelial neoplasia (PeIN),Differentiated penile intraepithelial neoplasia (PeIN)
8071/2,8071,129,/2,,Related,Differentiated vulvar intraepithelial neoplasia (VIN),Differentiated vulvar intraepithelial neoplasia (VIN)
8071/3,8071,130,/3,cancer,Preferred,"Squamous cell carcinoma, keratinizing","Squamous cell carcinoma, keratinizing"
8071/3,8071,131,/3,cancer,Synonym,"Epidermoid carcinoma, keratinizing","Epidermoid carcinoma, keratinizing"
8071/3,8071,132,/3,cancer,Synonym,"Squamous cell carcinoma, large cell, keratinizing","Squamous cell carcinoma, large cell, keratinizing"
8071/3,8071,133,/3,cancer,Related,Keratoacanthoma,Keratoacanthoma
8072/0,8072,134,/0,,Preferred,Large cell acanthoma,Large cell acanthoma
8072/3,8072,135,/3,cancer,Preferred,"Squamous cell carcinoma, large cell, nonkeratinizing","Squamous cell carcinoma, large cell, nonkeratinizing"
8072/3,8072,136,/3,cancer,Synonym,"Epidermoid carcinoma, large cell, nonkeratinizing","Epidermoid carcinoma, large cell, nonkeratinizing"
8072/3,8072,137,/3,cancer,Synonym,"Squamous cell carcinoma, nonkeratinizing","Squamous cell carcinoma, nonkeratinizing"
8073/3,8073,138,/3,cancer,Preferred,"Squamous cell carcinoma, small cell, nonkeratinizing","Squamous cell carcinoma, small cell, nonkeratinizing"
8073/3,8073,139,/3,cancer,Synonym,"Epidermoid carcinoma, small cell, nonkeratinizing","Epidermoid carcinoma, small cell, nonkeratinizing"
8074/3,8074,140,/3,cancer,Preferred,"Squamous cell carcinoma, spindle cell","Squamous cell carcinoma, spindle cell"
8074/3,8074,141,/3,cancer,Synonym,"Epidermoid carcinoma, spindle cell","Epidermoid carcinoma, spindle cell"
8074/3,8074,142,/3,cancer,Synonym,"Squamous cell carcinoma, sarcomatoid","Squamous cell carcinoma, sarcomatoid"
8074/3,8074,143,/3,cancer,Related,Pseudovascular squamous cell carcinoma,Pseudovascular squamous cell carcinoma
8075/3,8075,144,/3,cancer,Preferred,"Squamous cell carcinoma, adenoid","Squamous cell carcinoma, adenoid"
8075/3,8075,145,/3,cancer,Synonym,"Squamous cell carcinoma, acantholytic","Squamous cell carcinoma, acantholytic"
8075/3,8075,146,/3,cancer,Synonym,"Squamous cell carcinoma, pseudoglandular","Squamous cell carcinoma, pseudoglandular"
8076/2,8076,147,/2,,Preferred,Squamous cell carcinoma in situ with questionable stromal invasion,Squamous cell carcinoma in situ with questionable stromal invasion
8076/2,8076,148,/2,,Synonym,Epidermoid carcinoma in situ with questionable stromal invasion,Epidermoid carcinoma in situ with questionable stromal invasion
8076/3,8076,149,/3,cancer,Preferred,"Squamous cell carcinoma, microinvasive","Squamous cell carcinoma, microinvasive"
8077/0,8077,150,/0,,Preferred,"Squamous intraepithelial neoplasia, low grade","Squamous intraepithelial neoplasia, low grade"
8077/0,8077,151,/0,,Synonym,"Squamous intraepithelial neoplasia, grade I","Squamous intraepithelial neoplasia, grade I"
8077/0,8077,152,/0,,Synonym,Low grade squamous intraepithelial lesion,Low grade squamous intraepithelial lesion
8077/0,8077,153,/0,,Related,"Anal intraepithelial neoplasia, low grade","Anal intraepithelial neoplasia, low grade"
8077/0,8077,154,/0,,Related,"Cervical intraepithelial neoplasia, low grade","Cervical intraepithelial neoplasia, low grade"
8077/0,8077,155,/0,,Related,"Esophageal squamous intraepithelial neoplasia (dysplasia), low grade","Esophageal squamous intraepithelial neoplasia (dysplasia), low grade"
8077/2,8077,156,/2,,Preferred,"Squamous intraepithelial neoplasia, high grade","Squamous intraepithelial neoplasia, high grade"
8077/2,8077,157,/2,,Synonym,"Squamous intraepithelial neoplasia, grade II","Squamous intraepithelial neoplasia, grade II"
8077/2,8077,158,/2,,Synonym,"Squamous intraepithelial neoplasia, grade III","Squamous intraepithelial neoplasia, grade III"
8077/2,8077,159,/2,,Synonym,"Squamous dysplasia, high grade","Squamous dysplasia, high grade"
8077/2,8077,160,/2,,Synonym,High grade squamous intraepithelial lesion,High grade squamous intraepithelial lesion
8077/2,8077,161,/2,,Related,"Anal intraepithelial neoplasia, grade III","Anal intraepithelial neoplasia, grade III"
8077/2,8077,162,/2,,Synonym,AIN III,AIN III
8077/2,8077,163,/2,,Related,"Cervical intraepithelial neoplasia, grade III","Cervical intraepithelial neoplasia, grade III"
8077/2,8077,164,/2,,Synonym,"CIN III","CIN III"
8077/2,8077,165,/2,,Synonym,CIN III with severe dysplasia,CIN III with severe dysplasia
8077/2,8077,166,/2,,Related,"Esophageal squamous intraepithelial neoplasia (dysplasia), high grade","Esophageal squamous intraepithelial neoplasia (dysplasia), high grade"
8077/2,8077,167,/2,,Related,"Vaginal intraepithelial neoplasia, grade III","Vaginal intraepithelial neoplasia, grade III"
8077/2,8077,168,/2,,Synonym,VAIN III,VAIN III
8077/2,8077,169,/2,,Related,"Vulvar intraepithelial neoplasia, grade III","Vulvar intraepithelial neoplasia, grade III"
8077/2,8077,170,/2,,Synonym,VIN III,VIN III
8078/3,8078,171,/3,cancer,Preferred,Squamous cell carcinoma with horn formation,Squamous cell carcinoma with horn formation
8080/2,8080,172,/2,,Preferred,Queyrat erythroplasia,Queyrat erythroplasia
8081/2,8081,173,/2,,Preferred,Bowen disease,Bowen disease
8081/2,8081,174,/2,,Synonym,"Intraepidermal squamous cell carcinoma, Bowen type","Intraepidermal squamous cell carcinoma, Bowen type"
8082/3,8082,175,/3,cancer,Preferred,Lymphoepithelial carcinoma,Lymphoepithelial carcinoma
8082/3,8082,176,/3,cancer,Synonym,Lymphoepithelioma,Lymphoepithelioma
8082/3,8082,177,/3,cancer,Synonym,Lymphoepithelioma-like carcinoma,Lymphoepithelioma-like carcinoma
8082/3,8082,178,/3,cancer,Related,Schmincke tumor,Schmincke tumor
8083/3,8083,179,/3,cancer,Preferred,Basaloid squamous cell carcinoma,Basaloid squamous cell carcinoma
8083/3,8083,180,/3,cancer,Related,Papillary-basaloid carcinoma,Papillary-basaloid carcinoma
8084/0,8084,181,/0,,Preferred,Clear cell acanthoma,Clear cell acanthoma
8084/3,8084,182,/3,cancer,Preferred,"Squamous cell carcinoma, clear cell type","Squamous cell carcinoma, clear cell type"
8085/3,8085,183,/3,cancer,Preferred,"Squamous cell carcinoma, HPV-positive","Squamous cell carcinoma, HPV-positive"
8086/3,8086,184,/3,cancer,Preferred,"Squamous cell carcinoma, HPV-negative","Squamous cell carcinoma, HPV-negative"
8090/1,8090,186,/1,,Preferred,Basal cell tumor,Basal cell tumor
8090/3,8090,187,/3,cancer,Preferred,"Basal cell carcinoma","Basal cell carcinoma"
8090/3,8090,188,/3,cancer,Synonym,Basal cell epithelioma,Basal cell epithelioma
8090/3,8090,189,/3,cancer,Synonym,Rodent ulcer,Rodent ulcer
8090/3,8090,190,/3,cancer,Related,Pigmented basal cell carcinoma,Pigmented basal cell carcinoma
8090/3,8090,191,/3,cancer,Related,Basal cell carcinoma with adnexal differentiation,Basal cell carcinoma with adnexal differentiation
8091/3,8091,192,/3,cancer,Preferred,Superficial basal cell carcinoma,Superficial basal cell carcinoma
8091/3,8091,193,/3,cancer,Synonym,Multifocal superficial basal cell carcinoma,Multifocal superficial basal cell carcinoma
8091/3,8091,194,/3,cancer,Synonym,Multicentric basal cell carcinoma,Multicentric basal cell carcinoma
8092/3,8092,195,/3,cancer,Preferred,"Infiltrating basal cell carcinoma","Infiltrating basal cell carcinoma"
8092/3,8092,196,/3,cancer,Related,"Infiltrating basal cell carcinoma, non-sclerosing","Infiltrating basal cell carcinoma, non-sclerosing"
8092/3,8092,197,/3,cancer,Related,"Infiltrating basal cell carcinoma, sclerosing","Infiltrating basal cell carcinoma, sclerosing"
8092/3,8092,198,/3,cancer,Synonym,"Basal cell carcinoma, desmoplastic type","Basal cell carcinoma, desmoplastic type"
8092/3,8092,199,/3,cancer,Synonym,"Basal cell carcinoma, morpheic","Basal cell carcinoma, morpheic"
8092/3,8092,200,/3,cancer,Related,"Basal cell carcinoma, sarcomatoid","Basal cell carcinoma, sarcomatoid"
8093/3,8093,201,/3,cancer,Preferred,"Basal cell carcinoma, fibroepithelial","Basal cell carcinoma, fibroepithelial"
8093/3,8093,202,/3,cancer,Synonym,"Fibroepithelioma","Fibroepithelioma"
8093/3,8093,203,/3,cancer,Synonym,Fibroepithelioma of Pinkus type,Fibroepithelioma of Pinkus type
8093/3,8093,204,/3,cancer,Synonym,"Fibroepithelial basal cell carcinoma, Pinkus type","Fibroepithelial basal cell carcinoma, Pinkus type"
8093/3,8093,205,/3,cancer,Synonym,Pinkus tumor,Pinkus tumor
8094/3,8094,206,/3,cancer,Preferred,Basosquamous carcinoma,Basosquamous carcinoma
8094/3,8094,207,/3,cancer,Synonym,Mixed basal-squamous cell carcinoma,Mixed basal-squamous cell carcinoma
8095/3,8095,208,/3,cancer,Preferred,Metatypical carcinoma,Metatypical carcinoma
8096/0,8096,209,/0,,Preferred,Intraepidermal epithelioma of Jadassohn,Intraepidermal epithelioma of Jadassohn
8097/3,8097,210,/3,cancer,Preferred,"Basal cell carcinoma, nodular","Basal cell carcinoma, nodular"
8097/3,8097,211,/3,cancer,Related,"Basal cell carcinoma, micronodular","Basal cell carcinoma, micronodular"
8098/3,8098,212,/3,cancer,Preferred,Adenoid basal carcinoma,Adenoid basal carcinoma
8100/0,8100,213,/0,,Preferred,Trichoepithelioma,Trichoepithelioma
8100/0,8100,214,/0,,Synonym,Brooke tumor,Brooke tumor
8100/0,8100,215,/0,,Synonym,Epithelioma adenoides cysticum,Epithelioma adenoides cysticum
8100/0,8100,216,/0,,Related,Trichoblastoma,Trichoblastoma
8100/0,8100,217,/0,,Related,Trichogerminoma,Trichogerminoma
8100/3,8100,218,/3,cancer,Preferred,Trichoblastic carcinoma,Trichoblastic carcinoma
8100/3,8100,219,/3,cancer,Related,Trichoblastic cararcoma,Trichoblastic cararcoma
8101/0,8101,220,/0,,Preferred,Trichofolliculoma,Trichofolliculoma
8102/0,8102,221,/0,,Preferred,Trichilemmoma,Trichilemmoma
8102/3,8102,222,/3,cancer,Preferred,Trichilemmocarcinoma,Trichilemmocarcinoma
8102/3,8102,223,/3,cancer,Synonym,Trichilemmal carcinoma,Trichilemmal carcinoma
8103/0,8103,224,/0,,Preferred,Pilar tumor,Pilar tumor
8103/1,8103,225,/1,,Preferred,Proliferating trichilemmal cyst,Proliferating trichilemmal cyst
8103/1,8103,226,/1,,Synonym,Proliferating trichilemmal tumor,Proliferating trichilemmal tumor
8104/0,8104,227,/0,,Preferred,Pilar sheath acanthoma,Pilar sheath acanthoma
8104/0,8104,228,/0,,Related,Tumor of the follicular infundibulum,Tumor of the follicular infundibulum
8110/0,8110,229,/0,,Preferred,"Pilomatricoma","Pilomatricoma"
8110/0,8110,230,/0,,Synonym,"Pilomatrixoma","Pilomatrixoma"
8110/0,8110,231,/0,,Synonym,Calcifying epithelioma of Malherbe,Calcifying epithelioma of Malherbe
8110/0,8110,232,/0,,Related,Melanocytic matricoma,Melanocytic matricoma
8110/3,8110,233,/3,cancer,Preferred,Pilomatrical carcinoma,Pilomatrical carcinoma
8110/3,8110,234,/3,cancer,Synonym,Pilomatrix carcinoma,Pilomatrix carcinoma
8110/3,8110,235,/3,cancer,Synonym,Matrical carcinoma,Matrical carcinoma
8110/3,8110,236,/3,cancer,Synonym,"Pilomatricoma, malignant","Pilomatricoma, malignant"
8110/3,8110,237,/3,cancer,Synonym,"Pilomatrixoma, malignant","Pilomatrixoma, malignant"
8120/0,8120,239,/0,,Preferred,"Urothelial papilloma","Urothelial papilloma"
8120/0,8120,240,/0,,Synonym,"Transitional cell papilloma, benign","Transitional cell papilloma, benign"
8120/0,8120,241,/0,,Synonym,Transitional papilloma,Transitional papilloma
8120/0,8120,242,/0,,Synonym,"Transitional cell papilloma","Transitional cell papilloma"
8120/0,8120,243,/0,,Synonym,Papilloma of bladder,Papilloma of bladder
8120/2,8120,244,/2,,Preferred,Urothelial carcinoma in situ,Urothelial carcinoma in situ
8120/2,8120,245,/2,,Synonym,Transitional cell carcinoma in situ,Transitional cell carcinoma in situ
8120/3,8120,246,/3,cancer,Preferred,"Transitional cell carcinoma","Transitional cell carcinoma"
8120/3,8120,247,/3,cancer,Synonym,"Urothelial carcinoma","Urothelial carcinoma"
8120/3,8120,248,/3,cancer,Related,Transitional carcinoma,Transitional carcinoma
8120/3,8120,249,/3,cancer,Related,Squamotransitional carcinoma,Squamotransitional carcinoma
8121/0,8121,250,/0,,Preferred,"Sinonasal papilloma, exophytic","Sinonasal papilloma, exophytic"
8121/0,8121,251,/0,,Synonym,"Schneiderian papilloma","Schneiderian papilloma"
8121/0,8121,252,/0,,Synonym,"Sinonasal papilloma","Sinonasal papilloma"
8121/0,8121,253,/0,,Synonym,"Sinonasal papilloma, fungiform","Sinonasal papilloma, fungiform"
8121/0,8121,254,/0,,Related,"Urothelial papilloma, inverted","Urothelial papilloma, inverted"
8121/0,8121,255,/0,,Related,"Transitional papilloma, inverted","Transitional papilloma, inverted"
8121/0,8121,256,/0,,Synonym,"Transitional cell papilloma, inverted","Transitional cell papilloma, inverted"
8121/1,8121,257,/1,,Preferred,"Sinonasal papilloma, inverted","Sinonasal papilloma, inverted"
8121/1,8121,258,/1,,Related,Columnar cell papilloma,Columnar cell papilloma
8121/1,8121,259,/1,,Related,Cylindrical cell papilloma,Cylindrical cell papilloma
8121/1,8121,260,/1,,Related,"Schneiderian papilloma, oncocytic","Schneiderian papilloma, oncocytic"
8121/1,8121,261,/1,,Related,"Schneiderian papilloma, inverted","Schneiderian papilloma, inverted"
8121/1,8121,262,/1,,Related,"Sinonasal papilloma, oncocytic","Sinonasal papilloma, oncocytic"
8121/3,8121,263,/3,cancer,Preferred,Schneiderian carcinoma,Schneiderian carcinoma
8121/3,8121,264,/3,cancer,Related,Cylindrical cell carcinoma,Cylindrical cell carcinoma
8122/3,8122,265,/3,cancer,Preferred,"Urothelial carcinoma, sarcomatoid ","Urothelial carcinoma, sarcomatoid "
8122/3,8122,266,/3,cancer,Synonym,"Urothelial carcinoma, spindle cell","Urothelial carcinoma, spindle cell"
8122/3,8122,267,/3,cancer,Synonym,"Transitional cell carcinoma, spindle cell","Transitional cell carcinoma, spindle cell"
8122/3,8122,268,/3,cancer,Synonym,"Transitional cell carcinoma, sarcomatoid","Transitional cell carcinoma, sarcomatoid"
8123/3,8123,269,/3,cancer,Preferred,Basaloid carcinoma,Basaloid carcinoma
8124/3,8124,270,/3,cancer,Preferred,Cloacogenic carcinoma,Cloacogenic carcinoma
8130/1,8130,271,/1,,Preferred,Papillary urothelial neoplasm of low malignant potential,Papillary urothelial neoplasm of low malignant potential
8130/1,8130,272,/1,,Synonym,Papillary transitional cell neoplasm of low malignant potential,Papillary transitional cell neoplasm of low malignant potential
8130/2,8130,273,/2,,Preferred,"Papillary urothelial carcinoma, non-invasive","Papillary urothelial carcinoma, non-invasive"
8130/2,8130,274,/2,,Synonym,"Papillary transitional cell carcinoma, non-invasive","Papillary transitional cell carcinoma, non-invasive"
8130/3,8130,275,/3,cancer,Preferred,Papillary transitional cell carcinoma,Papillary transitional cell carcinoma
8130/3,8130,276,/3,cancer,Synonym,Papillary urothelial carcinoma,Papillary urothelial carcinoma
8131/3,8131,277,/3,cancer,Preferred,"Urothelial carcinoma, micropapillary","Urothelial carcinoma, micropapillary"
8131/3,8131,278,/3,cancer,Synonym,"Transitional cell carcinoma, micropapillary","Transitional cell carcinoma, micropapillary"
8140/0,8140,280,/0,,Preferred,"Adenoma","Adenoma"
8140/1,8140,281,/1,,Preferred,Atypical adenoma,Atypical adenoma
8140/1,8140,282,/1,,Synonym,"Bronchial adenoma","Bronchial adenoma"
8140/2,8140,283,/2,,Preferred,"Adenocarcinoma in situ","Adenocarcinoma in situ"
8140/3,8140,284,/3,cancer,Preferred,"Adenocarcinoma","Adenocarcinoma"
8140/3,8140,285,/3,cancer,Synonym,"Adenocarcinoma, usual type","Adenocarcinoma, usual type"
